Produzione di Rifiuti Urbani nella Regione Veneto - Anno 2015;;;;;;;;;;;;;;;;;;;
Bacino;Comune; Popolazione (n°); FORSU (kg); VERDE (kg); VETRO (kg); CARTA E CARTONE (kg); PLASTICA (kg);IMBALLAGGI METALLICI (kg);RAEE (kg); MULTIMATERIALE (kg); ALTRO RECUPERABILE (kg); RIFIUTI PARTICOLARI (kg);INGOMBRANTI (KG);SPAZZAMENTO (kg);CER 200301 - 200203 (kg); RIFIUTO TOTALE (kg); % RD (DGRV 288/14);UTENZE COMP. DOM. (n°);
BELLUNO;Agordo; 4.124 ; 359.681 ; 42.790 ; 259.690 ; 294.433 ; 30.495 ;; 43.435 ; 200.316 ; 239.000 ; 14.129 ; 84.726 ; 60.461 ; 302.855 ; 1.932.011 ; 75,6 ; 692 ;
;Alano di Piave; 2.827 ; 116.460 ; 24.420 ; 89.422 ; 110.583 ; 40.730 ;; 17.535 ; 51.306 ; 114.568 ; 5.777 ; 49.580 ; -   ; 139.200 ; 759.581 ; 78,0 ; 640 ;
;Alleghe; 1.224 ; 106.754 ; 12.700 ; 77.077 ; 87.389 ; 9.051 ;; 12.891 ; 59.454 ; 70.935 ; 4.194 ; 25.147 ; 17.945 ; 89.888 ; 573.425 ; 75,6 ; 200 ;
;Arsiè; 2.368 ; 122.196 ;; 104.310 ; 108.263 ; 26.930 ;; 20.569 ; 46.607 ; 86.528 ; 7.286 ; 74.480 ; -   ; 130.335 ; 727.504 ; 76,4 ; 500 ;
;Auronzo di Cadore; 3.350 ; 525.520 ; 40.266 ; 27.500 ; 299.807 ; 960 ;; 31.350 ; 396.436 ; 173.910 ; 6.051 ; 85.975 ; -   ; 298.950 ; 1.886.725 ; 75,1 ; 875 ;
;Belluno; 35.870 ; 2.930.740 ; 446.240 ; 18.220 ; 2.586.490 ; 154.190 ;; 203.069 ; 2.943.030 ; 663.470 ; 55.940 ; 190.800 ; 1.107.580 ; 2.539.080 ; 13.838.849 ; 75,1 ; 5.300 ;
;Borca di Cadore; 781 ; 106.090 ; 53.980 ;; 64.010 ; 23.850 ;; 7.464 ; 58.650 ; 20.144 ; 402 ; 4.270 ; -   ; 184.060 ; 522.920 ; 63,3 ; 1 ;
;Calalzo di Cadore; 2.085 ; 190.430 ; 43.728 ; 13.200 ; 168.166 ;;; 16.078 ; 200.226 ; 92.866 ; 5.855 ; 45.912 ; -   ; 134.550 ; 911.011 ; 75,5 ; 303 ;
;Canale d'Agordo; 1.131 ; 98.645 ; 11.735 ; 71.222 ; 80.750 ; 8.363 ;; 11.912 ; 54.938 ; 65.547 ; 3.874 ; 23.237 ; 16.582 ; 83.060 ; 529.865 ; 75,6 ; 202 ;
;Cencenighe Agordino; 1.311 ; 114.341 ; 13.603 ; 82.555 ; 93.599 ; 9.694 ;; 13.809 ; 63.680 ; 75.977 ; 4.492 ; 26.934 ; 19.220 ; 96.277 ; 614.181 ; 75,6 ; 305 ;
;Cesiomaggiore; 4.029 ; 201.390 ; 60.490 ; 155.058 ; 201.218 ; 32.370 ;; 27.192 ; 80.154 ; 187.289 ; 13.789 ; 62.910 ; 34.240 ; 151.910 ; 1.208.010 ; 83,1 ; 1.212 ;
;Chies d'Alpago; 1.377 ; 101.204 ;;; 79.542 ; 37.571 ;; 7.494 ; 65.788 ; 55.419 ; 2.460 ; 28.004 ; -   ; 98.702 ; 476.184 ; 73,6 ; 352 ;
;Cibiana di Cadore; 393 ; 32.640 ; 22.520 ;; 30.330 ; 8.060 ;; 4.293 ; 27.600 ; 16.500 ; 210 ; 8.630 ; -   ; 82.770 ; 233.553 ; 61,0 ; 43 ;
;Colle Santa Lucia; 360 ; 31.392 ; 3.735 ; 22.665 ; 25.697 ; 2.662 ;; 3.791 ; 17.483 ; 20.859 ; 1.234 ; 7.395 ; 5.277 ; 26.433 ; 168.623 ; 75,6 ; 183 ;
;Comelico Superiore; 2.238 ; 123.076 ; 22.346 ;; 116.303 ; 70.673 ;; 10.650 ; 111.787 ; 87.570 ; 2.057 ; 30.596 ; 8.180 ; 306.091 ; 889.329 ; 60,4 ;;
;Cortina d'Ampezzo; 5.907 ; 1.102.040 ; 229.410 ;; 803.070 ; 209.670 ;; 46.868 ; 793.600 ; 124.560 ; 3.633 ; 66.010 ; 523.200 ; 2.242.810 ; 6.144.871 ; 53,2 ; 174 ;
;Danta di Cadore; 463 ; 23.939 ; 23.483 ;; 27.297 ; 25.381 ;; 2.301 ; 44.262 ; 25.263 ; 611 ; 1.500 ; -   ; 62.088 ; 236.125 ; 70,4 ; 64 ;
;Domegge di Cadore; 2.441 ; 187.410 ; 52.519 ; 15.540 ; 136.864 ;;; 27.692 ; 206.537 ; 112.050 ; 5.824 ; 49.920 ; 15.540 ; 122.200 ; 932.096 ; 75,2 ; 413 ;
;Falcade; 1.951 ; 170.163 ; 20.244 ; 122.858 ; 139.294 ; 14.427 ;; 20.548 ; 94.768 ; 113.070 ; 6.686 ; 40.083 ; 28.604 ; 143.279 ; 914.024 ; 75,6 ; 327 ;
;Farra d'Alpago; 2.639 ; 172.877 ;;; 135.875 ; 64.179 ;; 12.802 ; 112.379 ; 94.667 ; 4.200 ; 47.836 ; -   ; 168.604 ; 813.419 ; 73,6 ; 537 ;
;Feltre; 20.649 ; 1.904.130 ;; 893.840 ; 1.391.780 ; 165.850 ;; 131.156 ; 781.240 ; 905.159 ; 42.538 ; 166.180 ; 396.420 ; 952.350 ; 7.730.643 ; 81,9 ; 5.179 ;
;Fonzaso; 3.228 ; 152.220 ; 29.260 ; 129.595 ; 164.397 ; 40.390 ;; 22.254 ; 57.643 ; 189.128 ; 11.446 ; 34.870 ; 43.590 ; 159.770 ; 1.034.563 ; 80,7 ; 855 ;
;Forno di Zoldo; 2.330 ; 233.370 ; 15.245 ; 18.430 ; 140.009 ;;; 11.998 ; 191.465 ; 108.505 ; 7.633 ; 47.000 ; 20.820 ; 116.940 ; 911.415 ; 75,3 ; 253 ;
;Gosaldo; 644 ; 56.159 ; 6.681 ; 40.547 ; 45.971 ; 4.761 ;; 6.782 ; 31.276 ; 37.316 ; 2.206 ; 13.229 ; 9.440 ; 47.287 ; 301.655 ; 75,6 ; 302 ;
;La Valle Agordina; 1.108 ; 96.639 ; 11.497 ; 69.773 ; 79.108 ; 8.193 ;; 11.670 ; 53.821 ; 64.215 ; 3.796 ; 22.764 ; 16.244 ; 81.371 ; 519.091 ; 75,6 ; 347 ;
;Lamon; 2.887 ; 65.070 ; 20.940 ; 138.760 ; 140.100 ; 86.690 ;; 19.145 ; -   ; 154.558 ; 8.856 ; 56.020 ; -   ; 154.150 ; 844.289 ; 78,2 ; 842 ;
;Lentiai; 3.017 ; 246.350 ;;; 197.100 ; 17.470 ;; 21.651 ; 184.930 ; 138.318 ; 4.726 ; 77.080 ; -   ; 148.640 ; 1.036.265 ; 76,0 ; 777 ;
;Limana; 5.209 ; 264.860 ;;; 276.760 ; 22.130 ;; 48.689 ; 213.090 ; 281.003 ; 13.985 ; 116.930 ; 52.430 ; 747.810 ; 2.037.687 ; 55,4 ; 1.172 ;
;Livinallongo del Col di Lana; 1.314 ; 114.594 ; 13.633 ; 82.737 ; 93.806 ; 9.716 ;; 13.838 ; 63.820 ; 76.145 ; 4.502 ; 26.994 ; 19.263 ; 96.490 ; 615.538 ; 75,6 ; 216 ;
;Longarone; 5.359 ; 569.700 ; 74.499 ; 40.360 ; 352.224 ; 53.802 ;; 32.935 ; 385.306 ; 258.155 ; 10.901 ; 110.857 ; 57.920 ; 492.400 ; 2.439.059 ; 69,5 ; 717 ;
;Lorenzago di Cadore; 549 ; 58.760 ; 2.362 ; 2.030 ; 39.224 ; 230 ;; 4.271 ; 43.155 ; 28.986 ; 1.327 ; 12.018 ; -   ; 33.860 ; 226.223 ; 75,7 ; 77 ;
;Lozzo di Cadore; 1.383 ; 122.700 ; 14.447 ; 7.890 ; 88.754 ;;; 9.248 ; 113.768 ; 70.732 ; 2.583 ; 28.581 ; -   ; 64.330 ; 523.033 ; 77,6 ; 169 ;
;Mel; 5.984 ; 238.510 ;;; 264.630 ; 34.250 ;; 35.212 ; 243.030 ; 157.191 ; 15.647 ; 110.110 ; 70.260 ; 783.420 ; 1.952.260 ; 51,2 ; 1.595 ;
;Ospitale di Cadore; 292 ; 18.150 ; 398 ; 1.130 ; 14.109 ; 58 ;; 2.741 ; 20.388 ; 12.981 ; 545 ; 5.220 ; -   ; 13.710 ; 89.430 ; 74,0 ; 111 ;
;Pedavena; 4.453 ; 380.845 ; 42.180 ; 183.607 ; 231.893 ; 84.080 ;; 42.584 ; 67.333 ; 224.078 ; 15.701 ; 71.300 ; 47.840 ; 265.230 ; 1.656.671 ; 80,3 ; 1.037 ;
;Perarolo di Cadore; 380 ; 41.030 ; 7.858 ; 1.190 ; 31.556 ;;; 2.601 ; 40.691 ; 9.792 ; 1.061 ; 6.629 ; -   ; 27.700 ; 170.108 ; 74,7 ; 32 ;
;Pieve d'Alpago; 1.872 ; 185.168 ;;; 145.536 ; 68.742 ;; 13.712 ; 120.369 ; 101.397 ; 4.499 ; 51.237 ; -   ; 180.591 ; 871.251 ; 73,6 ; 422 ;
;Pieve di Cadore; 3.794 ; 428.040 ; 77.755 ; 38.380 ; 276.987 ;;; 26.161 ; 356.145 ; 109.449 ; 9.702 ; 85.363 ; 265.150 ; 319.630 ; 1.992.762 ; 67,0 ; 452 ;
;Ponte nelle Alpi; 8.363 ; 551.430 ; 156.090 ; 122.400 ; 433.100 ; 115.320 ;; 78.577 ; 352.500 ; 345.332 ; 26.337 ; 39.310 ; 93.240 ; 343.100 ; 2.656.736 ; 84,1 ; 1.734 ;
;Puos d'Alpago; 2.483 ; 163.220 ;;; 128.284 ; 60.593 ;; 12.087 ; 106.101 ; 89.378 ; 3.966 ; 45.164 ; -   ; 159.185 ; 767.978 ; 73,6 ; 536 ;
;Quero Vas; 3.338 ; 231.340 ; 19.450 ; 132.967 ; 178.499 ; 61.600 ;; 20.537 ; 62.292 ; 158.091 ; 6.282 ; 85.050 ; 30.910 ; 117.210 ; 1.104.228 ; 83,9 ; 747 ;
;Rivamonte Agordino; 634 ; 55.299 ; 6.579 ; 39.926 ; 45.268 ; 4.688 ;; 6.678 ; 30.798 ; 36.745 ; 2.172 ; 13.026 ; 9.296 ; 46.563 ; 297.038 ; 75,6 ; 226 ;
;Rocca Pietore; 1.256 ; 109.536 ; 13.031 ; 79.085 ; 89.666 ; 9.287 ;; 13.227 ; 61.004 ; 72.785 ; 4.303 ; 25.802 ; 18.412 ; 92.231 ; 588.369 ; 75,6 ; 215 ;
;San Gregorio nelle Alpi; 1.613 ; 97.460 ;; 58.468 ; 62.259 ; 10.130 ;; 8.945 ; 29.475 ; 51.958 ; 5.384 ; 30.780 ; -   ; 38.270 ; 393.129 ; 85,8 ; 460 ;
;San Nicolò di Comelico; 406 ; 17.415 ; 2.579 ;; 32.155 ; 22.839 ;; 1.871 ; 35.261 ; 22.214 ; 496 ; 1.441 ; -   ; 52.273 ; 188.544 ; 68,9 ; 23 ;
;San Pietro di Cadore; 1.624 ; 53.610 ; 29.445 ;; 84.865 ; 70.982 ;; 7.640 ; 85.531 ; 101.114 ; 2.033 ; 6.437 ; -   ; 205.313 ; 646.970 ; 65,6 ; 138 ;
;San Tomaso Agordino; 644 ; 56.159 ; 6.681 ; 40.547 ; 45.971 ; 4.761 ;; 6.782 ; 31.276 ; 37.316 ; 2.206 ; 13.229 ; 9.440 ; 47.287 ; 301.655 ; 75,6 ; 197 ;
;San Vito di Cadore; 1.857 ; 226.300 ; 85.590 ;; 176.840 ; 49.550 ;; 15.295 ; 162.690 ; 50.698 ; 1.377 ; 10.830 ; 2.560 ; 442.020 ; 1.223.750 ; 62,0 ; 137 ;
;Santa Giustina; 6.807 ; 447.405 ; 13.040 ; 267.538 ; 351.234 ; 47.090 ;; 43.696 ; 130.225 ; 185.531 ; 13.819 ; 106.350 ; 40.120 ; 236.280 ; 1.882.328 ; 83,3 ; 1.388 ;
;Santo Stefano di Cadore; 2.609 ; 126.313 ; 60.447 ;; 118.097 ; 98.349 ;; 12.344 ; 121.361 ; 166.619 ; 3.269 ; 10.395 ; 42.180 ; 389.800 ; 1.149.174 ; 60,2 ; 247 ;
;Sappada; 1.317 ; 158.897 ;;; 132.483 ; 85.896 ;; 6.230 ; 93.778 ; 71.381 ; 1.938 ; 17.331 ; -   ; 269.735 ; 837.669 ; 64,7 ; 105 ;
;Sedico; 9.997 ; 572.280 ; 135.820 ;; 487.900 ; 21.010 ;; 60.282 ; 385.190 ; 254.402 ; 16.449 ; 188.360 ; 106.890 ; 1.865.300 ; 4.093.883 ; 47,7 ; 1.951 ;
;Selva di Cadore; 520 ; 45.352 ; 5.395 ; 32.744 ; 37.125 ; 3.845 ;; 5.477 ; 25.258 ; 30.135 ; 1.781 ; 10.683 ; 7.623 ; 38.187 ; 243.605 ; 75,6 ; 122 ;
;Seren del Grappa; 2.448 ; 116.634 ;; 101.182 ; 107.597 ; 42.380 ;; 17.717 ; 28.887 ; 90.623 ; 10.395 ; 49.380 ; 12.240 ; 114.200 ; 691.235 ; 78,7 ; 515 ;
;Sospirolo; 3.140 ; 188.730 ;;; 161.660 ; 8.240 ;; 20.928 ; 140.640 ; 100.808 ; 7.067 ; 111.780 ; -   ; 85.590 ; 825.443 ; 75,6 ; 698 ;
;Soverzene; 389 ; 21.290 ; 4.752 ; 810 ; 13.287 ; 100 ;; 4.842 ; 26.566 ; 16.765 ; 1.022 ; 6.233 ; -   ; 14.210 ; 109.877 ; 76,3 ; 109 ;
;Sovramonte; 1.444 ; 34.630 ;; 60.998 ; 67.500 ; 10.720 ;; 13.726 ; 35.340 ; 72.313 ; 6.386 ; 25.360 ; -   ; 83.040 ; 410.013 ; 75,7 ; 519 ;
;Taibon Agordino; 1.759 ; 153.405 ; 18.250 ; 110.758 ; 125.576 ; 13.006 ;; 18.524 ; 85.435 ; 101.934 ; 6.026 ; 36.136 ; 25.787 ; 129.169 ; 824.006 ; 75,6 ; 458 ;
;Tambre; 1.374 ; 175.671 ;;; 138.071 ; 65.216 ;; 13.008 ; 114.194 ; 96.196 ; 4.269 ; 48.609 ; -   ; 171.328 ; 826.562 ; 73,6 ; 387 ;
